Player,Nation,Position,Team,Age,Match,Minutes,Goals,Assists,Yellow_Cards,Red_Cards
José María Giménez,URU,Defender (DF),Atlético Madrid,29,27,1999,0,1,5,0
Arkaitz Mariezkurrena,ESP,Forward (FW),Real Sociedad,19,9,241,2,0,1,0
Pablo Marín,ESP,Midfielder (MF),Real Sociedad,21,23,1239,1,2,3,0
Mika Mármol,ESP,Defender (DF),Las Palmas,23,30,2399,0,1,5,0
Mario Maroto,ESP,Midfielder (MF),Valladolid,20,2,64,0,1,0,0
Unai Marrero,ESP,Goalkeeper (GK),Real Sociedad,22,2,180,0,0,0,0
Carlos Martín,ESP,Forward (FW),Alavés,22,26,1333,2,2,3,0
Diego Martín,ESP,Forward (FW),Las Palmas,20,2,40,0,0,0,0
Gerard Martín,ESP,Defender (DF),Barcelona,22,28,1038,1,3,2,0
Iván Martín,ESP,Midfielder (MF),Girona,25,32,2039,1,1,1,0
Jon Martin,ESP,Defender (DF),Real Sociedad,18,13,904,0,1,2,0
Mario Martín,ESP,Midfielder (MF),Valladolid,20,30,1748,0,1,8,3
Arnau Martinez,ESP,Defender (DF),Girona,21,32,2624,2,2,3,0
Iñigo Martínez,ESP,Defender (DF),Barcelona,33,28,2490,0,4,5,0
Javi Martínez,ESP,Midfielder (MF),Osasuna,24,1,6,0,0,0,0
Ramón Martínez,ESP,Defender (DF),Sevilla,21,5,261,1,0,0,0
Toni Martínez,ESP,Forward (FW),Alavés,27,28,1012,4,0,1,0
Javi Martón,ESP,Forward (FW),Athletic Club,25,3,53,0,0,1,0
Marvin,ESP,Defender (DF),Las Palmas,24,23,1038,0,0,4,0
Omar Mascarell,EQG,Midfielder (MF),Mallorca,31,32,1992,1,0,5,1
Jaime Mata,ESP,Forward (FW),Las Palmas,35,30,656,0,0,9,0
Borja Mayoral,ESP,Forward (FW),Getafe,27,24,1114,5,1,0,0
Kylian Mbappé,FRA,Forward (FW),Real Madrid,25,34,2907,31,3,3,1
Oliver McBurnie,SCO,Forward (FW),Las Palmas,28,34,1837,3,6,3,0
Scott McKenna,SCO,Defender (DF),Las Palmas,27,29,2466,0,0,5,1
Mateo Mejía,ESP,Forward (FW),Sevilla,21,1,11,0,0,0,0
Arthur Melo,BRA,Midfielder (MF),Girona,27,15,941,0,0,2,0
Brais Méndez,ESP,Midfielder (MF),Real Sociedad,27,27,1531,3,2,4,0
Ferland Mendy,FRA,Defender (DF),Real Madrid,29,14,1005,0,1,1,1
Nobel Mendy,FRA,Defender (DF),Betis,19,2,108,0,0,1,0
Víctor Meseguer,ESP,Midfielder (MF),Valladolid,25,14,418,0,0,1,0
Miguel,ESP,Forward (FW),Leganés,24,34,1724,1,3,3,0
Éder Militão,BRA,Defender (DF),Real Madrid,26,12,938,1,1,2,0
Luis Milla,ESP,Midfielder (MF),Getafe,29,33,2875,1,4,6,0
Pere Milla,ESP,Midfielder (MF),Espanyol,31,20,456,3,0,3,0
Óscar Mingueza,ESP,Midfielder (MF),Celta Vigo,25,34,2729,4,6,6,1
Kim Minsu,KOR,Midfielder (MF),Girona,18,3,22,0,0,0,0
Bojan Miovski,MKD,Forward (FW),Girona,25,17,869,2,1,0,0
Rafa Mir,ESP,Forward (FW),Valencia,27,20,753,1,2,4,0
Luka Modrić,CRO,Midfielder (MF),Real Madrid,38,35,1827,2,6,7,0
Johan Mojica,COL,Defender (DF),Mallorca,31,36,2755,1,2,5,0
Alberto Moleiro,ESP,Forward (FW),Las Palmas,20,35,2714,6,1,5,0
Nahuel Molina,ARG,Defender (DF),Atlético Madrid,26,30,1590,0,3,1,0
Jon Moncayola,ESP,Midfielder (MF),Osasuna,26,32,2099,0,0,8,0
Gonzalo Montiel,ARG,Defender (DF),Sevilla,27,6,113,0,0,1,0
Gerard Moreno,ESP,Forward (FW),Villarreal,32,17,721,3,2,0,0
Xavier Moreno,ESP,Forward (FW),Valladolid,19,1,45,0,0,0,0
Mateu Morey,ESP,Defender (DF),Mallorca,24,16,741,0,0,1,0
Ilaix Moriba,GUI,Midfielder (MF),Celta Vigo,21,33,2132,1,1,9,1
Manu Morlanes,ESP,Midfielder (MF),Mallorca,25,23,1338,0,0,7,0
Raúl Moro,ESP,Midfielder (MF),Valladolid,21,33,2341,4,5,2,0
Cristhian Mosquera,ESP,Defender (DF),Valencia,20,37,3319,1,0,6,0
Santiago Mouriño,URU,Defender (DF),Alavés,22,25,1849,0,1,7,0
Abdul Mumin,GHA,Defender (DF),Rayo Vallecano,26,24,2017,2,1,6,1
Aihen Muñoz,ESP,Defender (DF),Real Sociedad,26,21,1098,0,0,5,0
Álex Muñoz,ESP,Defender (DF),Las Palmas,30,21,1415,3,0,3,0
Iker Muñoz,ESP,Midfielder (MF),Osasuna,21,23,610,0,1,2,0
Javier Muñoz,ESP,Midfielder (MF),Las Palmas,29,35,2588,1,3,5,0
Víctor Muñoz,ESP,Forward (FW),Real Madrid,21,2,36,0,0,0,0
Vedat Muriqi,KVX,Forward (FW),Mallorca,30,29,2058,7,2,1,2
Juan Musso,ARG,Goalkeeper (GK),Atlético Madrid,30,2,180,0,0,0,0
Matija Nastasić,SRB,Defender (DF),Leganés,31,26,2110,1,0,3,0
Natan,BRA,Defender (DF),Betis,23,31,2175,1,1,5,1
Pau Navarro,ESP,Defender (DF),Villarreal,19,17,916,0,0,1,0
Roberto Navarro,ESP,Midfielder (MF),Mallorca,22,23,1278,1,0,3,0
Jesús Navas,ESP,Forward (FW),Sevilla,38,15,424,1,0,0,0
Yvan Neyou,CMR,Midfielder (MF),Leganés,27,30,2312,1,1,14,0
Tanguy Nianzou,FRA,Defender (DF),Sevilla,22,6,518,0,0,3,1
Saúl Ñíguez,ESP,Midfielder (MF),Sevilla,29,24,1553,1,6,8,1
Tamás Nikitscher,HUN,Midfielder (MF),Valladolid,24,13,858,0,0,2,0
Adrian Niño,ESP,Forward (FW),Atlético Madrid,20,1,12,0,0,0,0
Hugo Novoa,ESP,Defender (DF),Alavés,21,5,237,0,0,0,0
Randy Nteka,ANG,Forward (FW),Rayo Vallecano,26,24,1129,3,0,6,0
Unai Núñez,ESP,Defender (DF),Athletic Club,27,10,645,0,0,4,0
Ørjan Nyland,NOR,Goalkeeper (GK),Sevilla,33,30,2673,0,0,2,0
Allan Nyom,CMR,Defender (DF),Getafe,36,20,887,1,2,4,0
Jan Oblak,SVN,Goalkeeper (GK),Atlético Madrid,31,36,3240,0,0,0,0
Lucas Ocampos,ARG,Forward (FW),Sevilla,30,2,175,0,1,0,0
Álvaro Odriozola,ESP,Defender (DF),Real Sociedad,28,2,43,0,0,1,0
Thiago Ojeda,ARG,Midfielder (MF),Villarreal,21,1,8,0,0,1,0
Aingeru Olabarrieta,ESP,Forward (FW),Athletic Club,18,1,54,0,0,0,0
Olasagasti,ESP,Midfielder (MF),Real Sociedad,23,22,857,1,1,2,0
Brian Oliván,ESP,Defender (DF),Espanyol,30,17,1017,0,1,2,0
Lucas Oliveira Rosa,BRA,Defender (DF),Valladolid,24,21,1890,0,1,6,0
Dani Olmo,ESP,Midfielder (MF),Barcelona,26,25,1212,10,3,1,0
Aimar Oroz,ESP,Midfielder (MF),Osasuna,22,37,2966,5,4,8,0
Ángel Ortíz,ESP,Defender (DF),Betis,20,5,353,0,1,0,0
Gabriel Osei Misehouy,NED,Forward (FW),Girona,19,9,257,1,0,0,0
David Otorbi,ESP,Midfielder (MF),Valencia,16,1,14,0,0,0,0
Jesús Owono,EQG,Goalkeeper (GK),Alavés,23,6,487,0,0,0,0
Mikel Oyarzabal,ESP,Forward (FW),Real Sociedad,27,35,2250,9,3,4,1
Cenk Özkacar,TUR,Defender (DF),Valladolid,23,11,757,0,0,1,0
Jon Pacheco,ESP,Defender (DF),Real Sociedad,23,14,854,0,0,3,0
Alex Padilla,ESP,Goalkeeper (GK),Athletic Club,20,5,321,0,0,0,0
Isaac Palazón Camacho,ESP,Midfielder (MF),Rayo Vallecano,29,35,2162,4,4,5,0
Aitor Paredes,ESP,Defender (DF),Athletic Club,24,23,1812,3,0,4,1
Daniel Parejo,ESP,Midfielder (MF),Villarreal,35,36,2273,3,3,8,0
Iago Parente,ESP,Defender (DF),Valladolid,18,1,71,0,0,0,0
Álvaro Pascual,ESP,Forward (FW),Sevilla,22,8,408,1,0,1,0
Alfonso Pedraza,ESP,Defender (DF),Villarreal,28,12,460,0,2,0,0
Pedri,ESP,Midfielder (MF),Barcelona,21,37,2879,4,5,3,0
Adrià Pedrosa,ESP,Defender (DF),Sevilla,26,31,2298,1,1,7,0
Pejiño,ESP,Forward (FW),Las Palmas,28,1,16,0,0,0,0
Andy Pelmard,FRA,Defender (DF),Las Palmas,24,4,205,0,0,1,0
Iñaki Peña,ESP,Goalkeeper (GK),Barcelona,25,16,1396,0,0,1,0
Rubén Peña,ESP,Forward (FW),Osasuna,33,25,775,0,0,1,0
Nicolas Pépé,CIV,Forward (FW),Villarreal,29,28,1500,3,6,3,0
Peque,ESP,Midfielder (MF),Sevilla,21,26,1134,1,1,1,0
Ayoze Pérez,ESP,Forward (FW),Villarreal,31,30,1970,19,2,4,0
Carles Pérez,ESP,Midfielder (MF),Getafe,26,27,1431,3,0,2,0
Francisco Perez,ESP,Forward (FW),Valencia,21,26,570,0,0,1,0
Kike Pérez,ESP,Midfielder (MF),Valladolid,27,19,1191,2,0,6,0
Luis Pérez,ESP,Defender (DF),Valladolid,29,30,2558,0,0,2,0
Romain Perraud,FRA,Defender (DF),Betis,26,28,2002,2,2,8,1
Valentín Pezzolesi,ESP,Defender (DF),Las Palmas,17,1,6,0,0,0,0
Pica,ESP,Defender (DF),Alavés,22,9,499,0,0,1,0
Yeremi Pino,ESP,Midfielder (MF),Villarreal,21,34,1934,4,7,11,0
Portu,ESP,Forward (FW),Girona,32,27,779,1,2,4,0
Beñat Prados,ESP,Midfielder (MF),Athletic Club,23,30,1715,1,0,7,0
Abdón Prats,ESP,Forward (FW),Mallorca,31,24,456,2,0,4,0
Javi Puado,ESP,Forward (FW),Espanyol,26,35,2974,12,4,8,0
Dani Raba,ESP,Forward (FW),Leganés,28,29,1879,8,6,6,0
Arnau Rafús,ESP,Goalkeeper (GK),Valladolid,21,1,90,0,0,0,0
Antonio Raillo,ESP,Defender (DF),Mallorca,32,36,3207,2,0,7,1
Benito Ramírez,ESP,Defender (DF),Las Palmas,29,19,478,0,0,2,1
Sandro Ramírez,ESP,Forward (FW),Las Palmas,29,31,2034,9,3,6,0
Jacobo Ramón,ESP,Defender (DF),Real Madrid,19,3,204,1,0,1,0
Raphinha,BRA,Forward (FW),Barcelona,27,36,2839,18,9,4,0
Andrei Ratiu,ROU,Defender (DF),Rayo Vallecano,26,35,3065,2,3,5,0
Raúl,ESP,Forward (FW),Osasuna,23,32,750,4,0,1,0
Abderrahman Rebbach,ALG,Forward (FW),Alavés,25,8,385,0,0,1,0
Álex Remiro,ESP,Goalkeeper (GK),Real Sociedad,29,36,3240,0,0,0,0
Daniel Requena,ESP,Midfielder (MF),Villarreal,20,1,10,0,0,0,0
Diego Rico,ESP,Defender (DF),Getafe,31,33,2819,0,3,9,1
Luis Rioja,ESP,Forward (FW),Alavés,30,1,23,0,0,0,0
Luis Rioja,ESP,Forward (FW),Valencia,30,36,2831,5,3,6,0
Rodrigo Riquelme,ESP,Midfielder (MF),Atlético Madrid,24,16,516,0,1,0,0
Alberto Risco,ESP,Midfielder (MF),Getafe,18,5,69,0,0,0,0
Mihailo Ristić,SRB,Defender (DF),Celta Vigo,28,10,429,0,1,1,0
Gorka Rivera Alonso,ESP,Defender (DF),Getafe,19,1,20,0,0,0,0
Marc Roca,ESP,Midfielder (MF),Betis,27,14,906,2,2,4,0
Rodri,ESP,Forward (FW),Betis,24,3,118,0,0,0,0
Adrian Rodriguez,ESP,Goalkeeper (GK),Alavés,23,2,122,0,0,1,0
Álvaro Rodríguez,URU,Forward (FW),Getafe,20,22,852,2,0,6,0
Óscar Rodríguez Arnaiz,ESP,Midfielder (MF),Leganés,26,29,1330,1,4,6,1
Arturo Rodríguez,ESP,Forward (FW),Las Palmas,17,1,21,0,0,0,0
Damián Rodríguez,ESP,Midfielder (MF),Celta Vigo,21,17,927,0,0,3,0
Dani Rodríguez,ESP,Midfielder (MF),Mallorca,36,37,2162,4,7,5,0
Daniel Rodriguez,ESP,Forward (FW),Barcelona,18,1,37,0,0,0,0
James Rodríguez,COL,Midfielder (MF),Rayo Vallecano,33,6,140,0,0,1,0
Javi Rodríguez,ESP,Defender (DF),Celta Vigo,21,36,2514,3,2,7,0
Jesus Rodríguez,ESP,Forward (FW),Betis,18,21,1111,2,0,0,0
Kirian Rodríguez,ESP,Midfielder (MF),Las Palmas,28,21,1758,0,3,2,0
Ricardo Rodríguez,SUI,Defender (DF),Betis,31,18,1274,0,1,0,0
Rodrygo,BRA,Forward (FW),Real Madrid,23,30,1928,6,5,0,0
Leo Román,ESP,Goalkeeper (GK),Mallorca,24,7,630,0,0,0,0
Carlos Romero,ESP,Defender (DF),Espanyol,22,34,2554,2,1,7,0
Isaac Romero,ESP,Forward (FW),Sevilla,24,31,2156,4,2,10,1
Luka Romero,ARG,Forward (FW),Alavés,19,6,199,0,0,0,0
Oriol Romeu,ESP,Midfielder (MF),Girona,32,25,1356,0,0,5,0
Vitor Roque,BRA,Forward (FW),Betis,19,22,1235,4,0,4,0
Valentin Rosier,FRA,Defender (DF),Leganés,27,32,2595,1,2,8,0
Antonio Rüdiger,GER,Defender (DF),Real Madrid,31,29,2291,0,0,3,0
Aitor Ruibal,ESP,Defender (DF),Betis,28,29,1313,1,3,5,0
Abel Ruiz,ESP,Forward (FW),Girona,24,23,1346,4,0,3,0
Ferrán Ruiz,ESP,Midfielder (MF),Girona,21,1,18,0,0,0,0
Youssouf Sabaly,SEN,Defender (DF),Betis,31,22,1581,0,1,1,0
Umar Sadiq,NGA,Forward (FW),Valencia,27,16,825,5,0,4,0
Umar Sadiq,NGA,Forward (FW),Real Sociedad,27,7,227,0,0,1,0
Jorge Sáenz,ESP,Defender (DF),Leganés,27,23,1690,1,0,4,1
Jan Salas,ESP,Midfielder (MF),Mallorca,18,4,43,0,0,0,0
Kike Salas,ESP,Defender (DF),Sevilla,22,31,2238,3,2,6,0
Albert Sambi Lokonga,BEL,Midfielder (MF),Sevilla,24,22,1471,0,2,4,0
Chuky san jose,ESP,Midfielder (MF),Valladolid,20,18,728,2,0,1,0
Oihan Sancet,ESP,Midfielder (MF),Athletic Club,24,29,1620,15,1,2,0
Antonio Sánchez,ESP,Midfielder (MF),Mallorca,27,33,1395,0,0,3,0
Iván Sánchez,ESP,Midfielder (MF),Valladolid,31,32,1404,2,1,4,0
Javi Sánchez,ESP,Defender (DF),Valladolid,27,25,2026,2,0,6,0
Juanlu Sánchez,ESP,Midfielder (MF),Sevilla,20,32,1722,4,4,6,1
Manu Sánchez,ESP,Defender (DF),Alavés,23,33,2634,1,0,6,1
Maroan Sannadi,MAR,Forward (FW),Athletic Club,23,16,754,1,1,0,0
Jesús Santiago,ESP,Midfielder (MF),Getafe,20,19,372,0,0,5,0
Aleksandar Sedlar,SRB,Defender (DF),Alavés,32,9,594,0,0,1,1
Sergi,ESP,Defender (DF),Leganés,32,36,2957,2,0,2,1
Nicolás Serrano,ESP,Forward (FW),Athletic Club,21,4,112,0,0,0,0
Fábio Silva,POR,Forward (FW),Las Palmas,22,24,1866,10,3,7,0
Rui Silva,POR,Goalkeeper (GK),Betis,30,15,1350,0,0,1,0
Giuliano Simeone,ARG,Midfielder (MF),Atlético Madrid,21,33,1926,2,6,4,0
Unai Simón,ESP,Goalkeeper (GK),Athletic Club,27,21,1890,0,0,0,0
Daley Sinkgraven,NED,Defender (DF),Las Palmas,29,2,91,0,0,0,0
Jailson Siqueira,BRA,Defender (DF),Celta Vigo,28,13,614,0,0,2,0
Antonio Sivera,ESP,Goalkeeper (GK),Alavés,27,32,2810,0,0,6,1
Justin Smith,CAN,Midfielder (MF),Espanyol,21,5,209,0,0,0,0
Alex Sola,ESP,Midfielder (MF),Getafe,25,19,1029,0,1,4,0
Arnau Solà,ESP,Midfielder (MF),Villarreal,21,1,13,0,0,0,0
Jhon Solis,COL,Midfielder (MF),Girona,19,19,535,1,0,3,0
David Soria,ESP,Goalkeeper (GK),Getafe,31,38,3420,0,0,2,0
Juan Soriano,ESP,Goalkeeper (GK),Leganés,26,6,540,0,0,1,1
Hugo Sotelo,ESP,Midfielder (MF),Celta Vigo,20,24,1254,0,0,5,0
Djibril Sow,SUI,Midfielder (MF),Sevilla,27,30,2062,2,1,5,0
Carl Starfelt,SWE,Defender (DF),Celta Vigo,29,28,2270,1,0,5,0
Orri Steinn Óskarsson,ISL,Forward (FW),Real Sociedad,19,23,944,3,0,1,0
Stoichkov,ESP,Midfielder (MF),Alavés,30,16,699,0,1,1,0
Cristhian Stuani,URU,Forward (FW),Girona,37,32,1078,11,2,4,0
Álex Suárez,ESP,Defender (DF),Las Palmas,31,30,2460,0,0,12,0
Denis Suárez,ESP,Midfielder (MF),Villarreal,30,21,608,1,1,0,0
Luka Sučić,CRO,Midfielder (MF),Real Sociedad,21,29,1792,1,1,4,0
Suso,ESP,Forward (FW),Sevilla,30,16,606,0,2,3,0
Williot Swedberg,SWE,Forward (FW),Celta Vigo,20,32,1348,4,5,1,0
Mamadou Sylla,SEN,Forward (FW),Valladolid,30,29,1583,5,1,5,0
Wojciech Szczęsny,POL,Goalkeeper (GK),Barcelona,34,15,1350,0,0,0,0
Alexander Sørloth,NOR,Forward (FW),Atlético Madrid,28,35,1566,20,2,4,0
Renato Tapia,PER,Midfielder (MF),Leganés,29,34,2424,1,0,8,0
César Tárrega,ESP,Defender (DF),Valencia,22,34,3026,2,0,7,0
Aurélien Tchouaméni,FRA,Defender (DF),Real Madrid,24,32,2689,0,0,5,0
Álvaro Tejero,ESP,Midfielder (MF),Espanyol,28,28,1238,1,4,2,0
Martín Tejón,ESP,Midfielder (MF),Valencia,20,4,49,0,0,0,0
Nahuel Tenaglia,ARG,Defender (DF),Alavés,28,34,2922,2,1,11,0
Marc-André ter Stegen,GER,Goalkeeper (GK),Barcelona,32,8,674,0,0,0,0
Ramón Terrats,ESP,Midfielder (MF),Villarreal,23,11,131,0,0,1,0
Ramón Terrats,ESP,Midfielder (MF),Getafe,23,15,1219,4,1,1,0
Raúl de Tomás,ESP,Defender (DF),Rayo Vallecano,29,2,22,0,0,0,0
Pablo Torre,ESP,Midfielder (MF),Barcelona,21,10,310,3,1,0,0
David Torres,ESP,Defender (DF),Valladolid,21,18,1387,0,0,5,0
Ferrán Torres,ESP,Forward (FW),Barcelona,24,27,1106,10,6,1,1
Lucas Torró,ESP,Midfielder (MF),Osasuna,30,35,2957,3,0,10,0
Hamari Traoré,MLI,Defender (DF),Real Sociedad,32,11,700,0,1,2,0
Óscar Trejo,ARG,Midfielder (MF),Rayo Vallecano,36,19,496,1,0,1,0
Viktor Tsyhankov,UKR,Forward (FW),Girona,26,27,1913,2,5,1,0
Beñat Turrientes,ESP,Midfielder (MF),Real Sociedad,22,21,942,0,0,4,0
Christantus Uche,NGA,Forward (FW),Getafe,21,33,2486,4,6,8,2
Naci Ünüvar,NED,Midfielder (MF),Espanyol,21,2,31,0,0,0,0
Óscar Valentín,ESP,Midfielder (MF),Rayo Vallecano,29,34,1835,0,0,5,0
Germán Valera,ESP,Midfielder (MF),Valencia,22,8,148,0,0,0,0
Martin Valjent,SVK,Defender (DF),Mallorca,28,31,2763,3,0,4,0
Jesús Vallejo,ESP,Defender (DF),Real Madrid,27,4,138,0,1,0,0
Federico Valverde,URU,Midfielder (MF),Real Madrid,26,36,3032,6,4,4,0
Siebe Van Der Heyden,BEL,Defender (DF),Mallorca,26,2,97,0,0,0,0
Ruben Vargas,SUI,Forward (FW),Sevilla,25,11,671,2,1,0,0
José Luis García Vayá,ESP,Midfielder (MF),Valencia,25,34,1742,2,2,8,1
Jesus Vazquez,ESP,Defender (DF),Valencia,21,19,919,0,0,3,0
Lucas Vázquez,ESP,Defender (DF),Real Madrid,33,32,2189,1,5,4,0
Alejo Véliz,ARG,Forward (FW),Espanyol,20,27,1127,1,0,3,0
Mikel Vesga,ESP,Midfielder (MF),Athletic Club,31,25,988,0,0,1,0
Carlos Vicente,ESP,Forward (FW),Alavés,25,37,3092,5,5,3,0
Pau Victor,ESP,Forward (FW),Barcelona,22,21,319,2,1,2,0
Nacho Vidal,ESP,Defender (DF),Osasuna,29,5,124,0,0,0,0
Fran Vieites,ESP,Goalkeeper (GK),Betis,25,4,360,0,0,0,0
Sergio Viera,ESP,Midfielder (MF),Las Palmas,19,2,96,0,0,1,0
Asier Villalibre,ESP,Forward (FW),Alavés,26,16,333,1,1,2,0
Iván Villar,ESP,Goalkeeper (GK),Celta Vigo,27,4,360,0,0,0,0
Viti,ESP,Defender (DF),Las Palmas,26,29,1982,0,2,5,0
Daniel Vivian,ESP,Defender (DF),Athletic Club,25,32,2608,4,0,3,0
Krapyvtsov Vladyslav,UKR,Goalkeeper (GK),Girona,19,2,180,0,0,0,0
Iñaki Williams,GHA,Forward (FW),Athletic Club,30,35,2652,6,8,1,0
Nico Williams,ESP,Forward (FW),Athletic Club,22,29,1996,5,5,1,0
Axel Witsel,BEL,Defender (DF),Atlético Madrid,35,14,852,0,1,1,0
Lamine Yamal,ESP,Forward (FW),Barcelona,17,35,2856,9,13,3,0
Daniel Yáñez,ESP,Forward (FW),Real Madrid,17,1,2,0,0,0,0
Bertuğ Yıldırım,TUR,Forward (FW),Getafe,22,22,1083,1,0,7,0
Arsen Zakharyan,RUS,Midfielder (MF),Real Sociedad,21,3,73,1,0,0,0
Bryan Zaragoza,ESP,Forward (FW),Osasuna,23,27,1836,1,6,4,0
Igor Zubeldia,ESP,Defender (DF),Real Sociedad,27,28,2269,0,0,6,1
Martín Zubimendi,ESP,Midfielder (MF),Real Sociedad,25,36,2962,2,1,6,0
